epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,2872.2,0.30501,0.20927,0.77319,0.99217,0.9945,0.99388,0.95057,0.3068,0.19144,0.82679,0.000266125,0.000266125,0.000266125
118,2899.2,0.30829,0.20748,0.77242,0.99263,0.99394,0.99367,0.95185,0.30922,0.1917,0.82674,0.000263031,0.000263031,0.000263031
119,2923.15,0.3098,0.20807,0.7728,0.99216,0.99397,0.99385,0.95235,0.29688,0.18604,0.8261,0.000259938,0.000259938,0.000259938
120,2946.65,0.30427,0.20499,0.77159,0.99369,0.99395,0.9936,0.95208,0.29524,0.18464,0.82609,0.000256844,0.000256844,0.000256844
121,2970.49,0.29897,0.20337,0.77201,0.99332,0.9903,0.99388,0.95287,0.30247,0.18956,0.82605,0.00025375,0.00025375,0.00025375
122,2994.23,0.29726,0.20423,0.77288,0.99202,0.99378,0.99389,0.94965,0.29641,0.18648,0.8259,0.000250656,0.000250656,0.000250656
123,3018.35,0.30833,0.20883,0.77297,0.99181,0.99296,0.99356,0.95134,0.3018,0.18732,0.82612,0.000247563,0.000247563,0.000247563
124,3041.89,0.30209,0.20766,0.77255,0.99358,0.99183,0.99372,0.95099,0.29875,0.1838,0.82638,0.000244469,0.000244469,0.000244469
125,3065.43,0.30075,0.20294,0.77258,0.99191,0.99198,0.9938,0.9506,0.29693,0.18691,0.82623,0.000241375,0.000241375,0.000241375
126,3089.26,0.29917,0.20344,0.7721,0.99183,0.99466,0.99387,0.95307,0.29211,0.18356,0.82601,0.000238281,0.000238281,0.000238281
127,3113.15,0.30703,0.20856,0.77163,0.991,0.99464,0.99376,0.95115,0.29473,0.18434,0.82599,0.000235188,0.000235188,0.000235188
128,3136.95,0.29701,0.20069,0.77181,0.99153,0.99488,0.9938,0.95361,0.2961,0.18466,0.82583,0.000232094,0.000232094,0.000232094
129,3160.6,0.29741,0.20036,0.77129,0.99204,0.99545,0.99389,0.95451,0.28872,0.18171,0.82546,0.000229,0.000229,0.000229
130,3184.14,0.29939,0.20157,0.7705,0.9919,0.99576,0.99401,0.95285,0.29045,0.18204,0.82528,0.000225906,0.000225906,0.000225906
131,3207.69,0.29288,0.19958,0.77137,0.99182,0.99521,0.99394,0.95305,0.29101,0.18161,0.82563,0.000222813,0.000222813,0.000222813
132,3231.45,0.29609,0.20125,0.77186,0.9909,0.99319,0.99391,0.95513,0.29215,0.18219,0.82506,0.000219719,0.000219719,0.000219719
133,3255.17,0.28679,0.19543,0.77077,0.99073,0.99321,0.99381,0.95552,0.28812,0.18006,0.82563,0.000216625,0.000216625,0.000216625
134,3278.83,0.29511,0.19954,0.77289,0.99086,0.99508,0.99387,0.95732,0.29266,0.18389,0.82547,0.000213531,0.000213531,0.000213531
135,3302.89,0.29262,0.19828,0.77164,0.99022,0.99691,0.99384,0.95453,0.29043,0.18224,0.82513,0.000210437,0.000210437,0.000210437
136,3326.73,0.29835,0.20086,0.77287,0.98962,0.99523,0.99376,0.95714,0.28345,0.18341,0.82509,0.000207344,0.000207344,0.000207344
137,3350.94,0.29329,0.20255,0.77259,0.9924,0.99469,0.99385,0.95693,0.28845,0.18236,0.82534,0.00020425,0.00020425,0.00020425
138,3374.57,0.29249,0.20086,0.77163,0.99118,0.99548,0.99396,0.95468,0.28986,0.18128,0.82554,0.000201156,0.000201156,0.000201156
139,3398.14,0.29133,0.19602,0.77131,0.99276,0.99525,0.99396,0.95458,0.28878,0.17858,0.82582,0.000198063,0.000198063,0.000198063
140,3421.9,0.29411,0.19858,0.77117,0.98909,0.99746,0.9937,0.95478,0.2883,0.18145,0.82521,0.000194969,0.000194969,0.000194969
141,3445.58,0.28949,0.19708,0.77252,0.9909,0.99708,0.99384,0.95597,0.28908,0.17953,0.82591,0.000191875,0.000191875,0.000191875
142,3469.31,0.29154,0.19437,0.77187,0.99099,0.99622,0.99347,0.95715,0.2868,0.17902,0.8255,0.000188781,0.000188781,0.000188781
143,3493.42,0.28659,0.19553,0.77055,0.99,0.99709,0.99379,0.95681,0.28987,0.18216,0.82502,0.000185688,0.000185688,0.000185688
144,3516.9,0.28453,0.1935,0.77242,0.99165,0.99276,0.9937,0.95684,0.28695,0.17636,0.82524,0.000182594,0.000182594,0.000182594
145,3540.63,0.28232,0.1975,0.77106,0.99074,0.99551,0.9939,0.95867,0.28358,0.17724,0.8249,0.0001795,0.0001795,0.0001795
146,3564.51,0.2886,0.19332,0.77179,0.98917,0.99784,0.99383,0.95709,0.28192,0.17609,0.82487,0.000176406,0.000176406,0.000176406
